Headline,Publication,Summary,Date
Kabinet kan coronacrisis ookbenutten,"NRC Handelsblad, BINNENLAND; Blz. 14, 987 words",,31/3/2020
Invoering megawet voor ontwikkeling Nederland op de lange baan,"AD/Algemeen Dagblad.nl, 271 words",,1/4/2020
Ruimtelijke ordening (binnen de kom) bij de nieuwe Goirlese wethouder Liselotte Franssen,"AD/Algemeen Dagblad.nl, 126 words",,1/4/2020
Ministerie hield grote zorgen over invoeren Omgevingswet achter,"NRC.NEXT, ECONOMIE; Blz. 1, 553 words",,2/4/2020
Ministerie hield grote zorgen over invoeren Omgevingswet achter,"NRC Handelsblad, ECONOMIE; Blz. 1, 559 words",,2/4/2020
Invoering van Omgevingswet wordt uitgesteld om coronacrisis,"NRC.nl, ARTICLE, 124 words",,2/4/2020
Ruimtelijke Ordening Invoering van Omgevingswet wordt uitgesteld om coronacrisis,"NRC Handelsblad, IN HET NIEUWS; Blz. 2, 122 words",,2/4/2020
Ruimtelijke Ordening Invoering van Omgevingswet wordt uitgesteld om coronacrisis,"NRC.NEXT, IN HET NIEUWS; Blz. 2, 120 words",,2/4/2020
Kamer: kabinet loopt te hard van stapel,"De Telegraaf, BINNENLAND; Blz. 06, 771 words",,3/4/2020
Amersfoortse politiek vergadert nog zeker twee maanden digitaal vanwege coronacrisis,"AD/Algemeen Dagblad.nl, 321 words",,7/4/2020
"Coronacrisis kost geld: Maassluis gaat tóch bezuinigen, Vlaardingen en Schiedam vrezen gevolgen","AD/Algemeen Dagblad.nl, 641 words",,14/4/2020
Coronacrisis wordt voor Amersfoort ook een financiële crisis,"AD/Algemeen Dagblad.nl, 649 words",,14/4/2020
Digitaal sjokt Den Haag voort,"NRC.NEXT, IN HET NIEUWS; Blz. 14, 1041 words",,14/4/2020
De democratie werkt slecht per video,"NRC Handelsblad, IN HET NIEUWS; Blz. 14, 1133 words",,14/4/2020
"Inspraak Omgevingsvisie in Eindhoven gaat door, maar digitaal in corona-tijd","AD/Algemeen Dagblad.nl, 511 words",,16/4/2020
Met één klik weet je alles over elk perceel in de wijk; Mierlo-Hout proefgebied omgevingsplan,"AD/Algemeen Dagblad.nl, 639 words",,16/4/2020
Osse raad ruimt papieren barrage voor amazone Voets; rijbak gelegaliseerd,"AD/Algemeen Dagblad.nl, 462 words",,17/4/2020
Bernheze kan werk amper aan en hoort burgers klagen r,"AD/Algemeen Dagblad.nl, 485 words",,1/5/2020
"Als de politiek normenopenlaat, stelt de rechter die'","NRC.NEXT, IN HET NIEUWS; Blz. 14, 1015 words",,8/5/2020
"Als de politiek normenopenlaat, stelt de rechter die'","NRC Handelsblad, IN HET NIEUWS; Blz. 14, 1015 words",,8/5/2020
"‘Meer aandacht voor wijken in Omgevingsvisie Eindhoven’, belooft wethouder Torunoglu","AD/Algemeen Dagblad.nl, 539 words",,13/5/2020
Besluiten Omgevingsvisie en verkoop Van Abbehuis in Eindhoven uitgesteld,"AD/Algemeen Dagblad.nl, 296 words",,19/5/2020
Leusden in financieel zwaar weer en moet de broekriem aanhalen,"AD/Algemeen Dagblad.nl, 558 words",,6/6/2020
"Meepraten over toekomst eigen Bossche wijk. Mooi, maar doe eerst maar een verkeersspiegel","AD/Algemeen Dagblad.nl, 418 words",,15/6/2020
Overkapping wijngaard Dieren mag blijven staan,"AD/Algemeen Dagblad.nl, 253 words",,16/6/2020
Op welke plek in Woerden komt een nieuwe brug over de Oude Rijn? Deze zomer wordt dat eindelijk bekend,"AD/Algemeen Dagblad.nl, 298 words",,16/6/2020
Binnen paar weken ‘reddingsvoorstel’ voor Maassluise Theater Koningshof dat in nood verkeert,"AD/Algemeen Dagblad.nl, 633 words",,17/6/2020
Provincie vreest dat nieuwe geluidsregels Schiphol woningbouw zal belemmeren,"AD/Algemeen Dagblad.nl, 302 words",,22/6/2020
Waar moeten die mensen terecht? Streep door bouwplannen huizen Randstad,"De Telegraaf, BINNENLAND; Blz. 12, 480 words",,23/6/2020
Oosterhout moet zuinig zijn op De Heilige Driehoek: ‘Nationaal en internationaal uniek gebied’,"AD/Algemeen Dagblad.nl, 752 words",,23/6/2020
rJeugdraadsleden Goirle willen een schone gemeente en geven zelf het goede voorbeeld,"AD/Algemeen Dagblad.nl, 290 words",,27/6/2020
OZB in Rheden volgend jaar met meer dan 6 procent omhoog,"AD/Algemeen Dagblad.nl, 432 words",,3/7/2020
Strengere normen treffen niet Schiphol maar de woningbouw,"de Volkskrant, Ten Eerste; Blz. 8, 799 words",,6/7/2020
"Niet luchtvaart, maar woningbouw Schipholregio bedreigd door nieuwe geluidsnormen","De Volkskrant.nl, 912 words",,6/7/2020
"Houten trekt miljoenen uit om nieuwe Omgevingswet in te voeren, ook al dreigen bezuinigingen","AD/Algemeen Dagblad.nl, 101 words",,9/7/2020
"Geluidsoverlast van een kerk, het lijkt een vreemd voorval","AD/Algemeen Dagblad.nl, 995 words",,13/7/2020
Maison Kelder woedend over bouwplan Binckhorst: ‘Sluwe honden bij gemeente’,"AD/Algemeen Dagblad.nl, 667 words",,17/7/2020
Weer verzet tegen zonnepark in Roosendaal: ‘We kunnen net zo goed gelijk op Borchwerf gaan wonen’,"AD/Algemeen Dagblad.nl, 583 words",,22/7/2020
Uitgedroogde Veluwe snakt naar nieuwe moerassen. Zijn er oplossingen?,"De Volkskrant.nl, 1650 words",,27/7/2020
Na stikstof dreigen nieuwe geluidsnormen vliegverkeer woningbouw te nekken,"AD/Algemeen Dagblad.nl, 664 words",,28/7/2020
Uitgedroogde Veluwe snakt naar zompige moerassen,"de Volkskrant, Ten Eerste; Blz. 18, 19, 1754 words",,28/7/2020
"Geluidsnorm bom onder woningbouw? ‘Paniekzaaierij’, zegt Stichting Geluidshinder","AD/Algemeen Dagblad.nl, 433 words",,30/7/2020
Bodegraven vreest nieuwbouw hoger dan de nok van de geliefde dorpskerk: ‘Echt wel heftig’,"AD/Algemeen Dagblad.nl, 607 words",,31/7/2020
Herrieregel is desastreus' Gemeenten en bouwers vrezen dat nieuwe rekenmethode de huizenbouw lam gaat leggen,"De Telegraaf, BINNENLAND; Blz. 2, 1365 words",,1/8/2020
‘Foutje’ in bestemmingsplan kan De Bilt miljoenen kosten: circa 100 schadeclaims op komst,"AD/Algemeen Dagblad.nl, 643 words",,11/8/2020
Bouwen aan barrières 'Groenste kabinet ooit' stapelt hindernissen voor betaalbare huizen,"De Telegraaf, BINNENLAND; Blz. 8, 1466 words",,13/8/2020
Zutphenaren willen ‘vergeten Berkel’ weer functie geven voor stadsbewoners: ‘Met deze hitte wil je kunnen pootjebaden’,"AD/Algemeen Dagblad.nl, 569 words",,15/8/2020
‘Westland gaat geen forenzenstad van Den Haag worden‘,"AD/Algemeen Dagblad.nl, 929 words",,16/8/2020
Gemist? Rapper Blacka toont berouw na steekpartij en rust lijkt weer terug in Schilderswijk,"AD/Algemeen Dagblad.nl, 567 words",,16/8/2020
Tweespalt om Tweede Kaagbaan Ministerie gaat ondanks afname luchtverkeer door met onderzoek,"De Telegraaf, FINANCIEEL; Blz. 20, 612 words",,19/8/2020
Peter van de Ven stopt als wethouder van Altena: ‘Ik heb het gruwelijk onderschat’,"AD/Algemeen Dagblad.nl, 613 words",,2/9/2020
Peter van der Ven stopt nu echt: 'Ik heb het gruwelijk onderschat’,"AD/Algemeen Dagblad.nl, 718 words",,4/9/2020
"Ollongren wacht liever af, en dat pikt de Kamer niet","NRC.nl, 703 words",,9/9/2020
"Ollongren wacht liever af, en dat pikt de Kamer niet","NRC.NEXT, BINNENLAND; Blz. 13, 739 words",,10/9/2020
"Ollongren wacht liever af, en dat pikt de Kamer niet","NRC Handelsblad, BINNENLAND; Blz. 13, 746 words",,10/9/2020
Boze burgemeesters eisen miljarden extra: ‘Berm niet meer maaien om zwembad te behouden’,"AD/Algemeen Dagblad.nl, 938 words",,14/9/2020
Gemeente weigert vergunning voor BSO uit angst voor bewoners van het Kromhout,"AD/Algemeen Dagblad.nl, 597 words",,16/9/2020
Loon op Zand stelt orde op zaken én hoeft niet te bezuinigen,"AD/Algemeen Dagblad.nl, 563 words",,18/9/2020
"Moet de natuur de ruimte krijgen in Aalst, of juist recreatie?","AD/Algemeen Dagblad.nl, 381 words",,21/9/2020
Verbod op woningsplitsing moet dam opwerpen tegen zorgwoningen in Kampen,"AD/Algemeen Dagblad.nl, 435 words",,4/10/2020
Boeren in Krimpenerwaard moeten lokale regels beter volgen,"AD/Algemeen Dagblad.nl, 191 words",,5/10/2020
"Boomgaarden, bossen, akkers: Ooit was het voor edelen goed toeven in de Binckhorst","AD/Algemeen Dagblad.nl, 797 words",,6/10/2020
Buurman: ‘Erve Beverborg ligt in de natuur en niet in woonwijk’,"AD/Algemeen Dagblad.nl, 475 words",,8/10/2020
"Lopik in financieel zwaar weer: minder geld naar zorg, hogere ozb","AD/Algemeen Dagblad.nl, 308 words",,13/10/2020
‘Gorcumse vleermuizen en vogels moeten steeds vaker vluchten voor de sloophamer’,"AD/Algemeen Dagblad.nl, 307 words",,16/10/2020
"AZC, afvaltoerisme en de kleur van Piet. Gorinchem heeft veel om over na te denken","AD/Algemeen Dagblad.nl, 305 words",,19/10/2020
Italiaanse toestanden in Vught ; schulden ongekend hoog,"AD/Algemeen Dagblad.nl, 612 words",,23/10/2020
Onrust over luchthavenbesluit Gilze-Rijen: ‘Uitstel tot 2029 wil er bij veel mensen niet in’,"AD/Algemeen Dagblad.nl, 478 words",,24/10/2020
"Einddatum luchthavenbesluit blijft onduidelijk, zorgvuldigheid staat voorop meent Defensie","AD/Algemeen Dagblad.nl, 423 words",,26/10/2020
"Oost-Nederland is dé dumpplek van vieze grond en vervuild slib, en de weerstand ertegen groeit","AD/Algemeen Dagblad.nl, 1784 words",,11/11/2020
Ict-waakhond kraakt Omgevingswet opnieuw,"NRC.nl, 585 words",,13/11/2020
Boeren ballen weer hun vuist in Den Haag,"AD/Algemeen Dagblad.nl, 429 words",,16/11/2020
"Boeren niet welkom bij woonpaleis koning, protest verplaatst naar Koekamp","AD/Algemeen Dagblad.nl, 433 words",,16/11/2020
"Een défilé langs het paleis, maar dan van boze toeterende boeren","NRC.nl, 652 words",,17/11/2020
Deze boeren leggen uit waarom ze in Den Haag waren: ‘Er zijn gewoon dingen die niet kloppen’,"AD/Algemeen Dagblad.nl, 609 words",,17/11/2020
Gemist? Dit is het belangrijkste nieuws van vandaag,"AD/Algemeen Dagblad.nl, 328 words",,17/11/2020
Boeren spreken online over stikstof,"AD/Algemeen Dagblad.nl, 96 words",,24/11/2020
Geef gemeenten de ruimte om te bouwen OPINIE Politici Nobel (VVD) en Terpstra (CDA),"De Telegraaf, BINNENLAND; Blz. 21, 594 words",,25/11/2020
Ank Bijlevelds oorlog,"de Volkskrant, Opinie en Debat; Blz. 27, 730 words",,25/11/2020
Buren van de Huif boos op Sint-Michielsgestel,"AD/Algemeen Dagblad.nl, 650 words",,28/11/2020
Straks is je vergunningaanvraag opgelost met enkele muisklikken: wie gelooft het?,"De Volkskrant.nl, 622 words",,3/12/2020
Opinie: door het invoeren van één milieuwet zullen waarden als natuur en biodiversiteit als eerste sneuvelenrr,"De Volkskrant.nl, 1090 words",,3/12/2020
Straks is je vergunningaanvraag opgelost met enkele muisklikken: wie gelooft het?,"De Volkskrant.nl, 622 words",,3/12/2020
"Nederland, let op u saeck!","de Volkskrant, Opinie en Debat; Blz. 26, 1125 words",,4/12/2020
Kabouter Spillebeen zat op de wip in Rijen,"AD/Algemeen Dagblad.nl, 470 words",,5/12/2020
Studenten TU Eindhoven testen spiegelkast als inspraakbox op Stadhuisplein,"AD/Algemeen Dagblad.nl, 570 words",,7/12/2020
Eerste Kamer roept minister Ollongren halt toe,"NRC.nl, 1005 words",,8/12/2020
Eerste Kamer roept Ollongren halt toe,"NRC Handelsblad, IN HET NIEUWS; Blz. 6, 895 words",,9/12/2020
Eerste Kamer roept Ollongren halt toe,"NRC.NEXT, IN HET NIEUWS; Blz. 6, 1028 words",,9/12/2020
Waterschap stuurt bewoners bos in met nieuwe regels voor Rozendaalse Beek: ‘Snapte er geen jota van’,"AD/Algemeen Dagblad.nl, 550 words",,10/12/2020
‘Ambtenaren in Helmond onder erg grote druk’; accountant adviseert stad om keuzes te maken,"AD/Algemeen Dagblad.nl, 468 words",,15/12/2020
"Bedoeling misschien goed, maar ook omwonenden Nobelaerterrein worden dol van ‘woordenspelletje’","AD/Algemeen Dagblad.nl, 399 words",,19/12/2020
Soest voelt niets voor woningbouw op terrein TBS: ‘Ruimte voor bedrijven blijft nodig’,"AD/Algemeen Dagblad.nl, 204 words",,22/12/2020
Koeien of woningen? Bouwen op weiland splijt een Fries terpdorp,"De Volkskrant.nl, 1936 words",,4/1/2021
Koeien of woningen? Bouwen op weiland splijt een Fries terpdorp,"De Volkskrant.nl, 1936 words",,4/1/2021
Koeien of woningen? Bouwen op weiland splijt een Fries terpdorp,"De Volkskrant.nl, 1936 words",,4/1/2021
Koeien of woningen? Die vraag splijt een Fries terpdorp,"de Volkskrant, Ten Eerste; Blz. 20, 21, 1950 words",,5/1/2021
"Wonen, verkeer en economie: waar gaat het heen met Oosterhout? Inwoners kunnen hun zegje doen","AD/Algemeen Dagblad.nl, 381 words",,7/1/2021
Amsterdam komt ruimte voor woningen tekort. Kan het groeien rondom Schiphol?,"NRC.nl, 3514 words",,8/1/2021
Bij Schiphol stagneert Amsterdam Bedrijven? Woningen! Schiphol Amsterdam stagneertaan de zuidkant Ten zuidwesten van Amsterdam worden haast geen huizen gebouwd: daar ligt Schiphol. Op welke manierzou het toch kunnen? Een zoektocht van NRC .,"NRC Handelsblad, VOORPAGINA; Blz. 1, 3648 words",,9/1/2021
Bij Schiphol stagneert Amsterdam Bedrijven? Woningen! Schiphol Amsterdam stagneert aan de zuidkant Ten zuidwesten van Amsterdam worden haast geen huizen gebouwd: daar ligt Schiphol. Op welke manier zou het toch kunnen? Een zoektocht van NRC .,"NRC.NEXT, VOORPAGINA; Blz. 1, 3648 words",,9/1/2021
"Lith nu 10 jaar bij Oss: 'Geloof me, niemand in het dorp wil meer terug naar oude gemeente'","AD/Algemeen Dagblad.nl, 816 words",,11/1/2021
"Geloof me, niemand wil meer terug naar die oude gemeente Lith'","AD/Algemeen Dagblad.nl, 816 words",,11/1/2021
Dijkgraaf Tanja Klip zet werk voort in Eerste Kamer: ‘Werken aan water in de delta houdt nooit op’r,"AD/Algemeen Dagblad.nl, 865 words",,21/1/2021
Regel gezonder eten met een wet' Brandbrief van grote steden,"De Telegraaf, REGIO; Blz. 12, 347 words",,27/1/2021
Steden: 'Regel gezonder eten met een wet',"De Telegraaf, BINNENLAND; Blz. 12, 351 words",,27/1/2021
Gemeenten willen aanbieders fastfood makkelijker kunnen weren,"NRC Handelsblad, IN HET NIEUWS; Blz. 2, 283 words",,27/1/2021
Gemeenten willen ongezonde fastfood met nieuwe regels kunnen weren,"NRC.NEXT, IN HET NIEUWS; Blz. 2, 283 words",,27/1/2021
Aandacht voor Eindhovens erfgoed; ‘tussen slopen en beschermen zit niks doen’,"AD/Algemeen Dagblad.nl, 872 words",,30/1/2021
"Pipowagen in voortuin moet weg, maar dat pikt dit Leusdense stel niet en daarom stappen ze naar de rechter","AD/Algemeen Dagblad.nl, 308 words",,2/2/2021
Minder asfalt: ‘Een groenere buurt is ook een fijnere buurt’,"NRC.nl, 1825 words",,2/2/2021
Fractievoorzitter GroenLinks Zeist stapt op na rel over nepprofielen op Facebook,"AD/Algemeen Dagblad.nl, 383 words",,4/2/2021
Friese gemeenten trekken samen op tegen herverdeling gemeentegelden,"AD/Algemeen Dagblad.nl, 418 words",,5/2/2021
"Een groenere buurt is ook een fijnere buurt' Zo willen we wonen Kleiner, groener en in een huis dat we zelf ontwerpen","NRC Handelsblad, LEVEN; Blz. 1, 1886 words",,6/2/2021
"Een groenere buurt is ook een fijnere buurt' Zo willen we wonen Kleiner, groener en in een huis dat we zelf ontwerpen","NRC.NEXT, LEVEN; Blz. 1, 1886 words",,6/2/2021
Breda stoeit met participatie op weg naar Omgevingswet: ‘Dit moet strakker’,"AD/Algemeen Dagblad.nl, 457 words",,8/2/2021
De Omgevingswet gaat volgens de Eerste Kamer tot chaos leiden,"NRC.nl, 474 words",,9/2/2021
Verzet tegen Omgevingswet,"NRC.NEXT, BINNENLAND; Blz. 8, 322 words",,10/2/2021
Verzet tegen Omgevingswet,"NRC Handelsblad, BINNENLAND; Blz. 8, 322 words",,10/2/2021
Gemeenten verzetten zich tegen invoering Omgevingswet per 2022,"NRC.nl, 294 words",,10/2/2021
Verplicht groen bij nieuwe grotere projecten in Den Bosch,"AD/Algemeen Dagblad.nl, 688 words",,10/2/2021
Brandbrief gemeenten: taken niet langer uitvoerbaar met oplopende tekorten jeugdzorg,"De Volkskrant.nl, 429 words",,12/2/2021
"Bedrijven vervuilen en de overheid (dus u ook) betaalt: knellende wetgeving, slappe knieën en slimmere bedrijven","AD/Algemeen Dagblad.nl, 2624 words",,13/2/2021
Lopik komt structureel geld tekort: gaat de gemeente fuseren of wordt gekozen voor een andere oplossing?,"AD/Algemeen Dagblad.nl, 622 words",,17/2/2021
Lopik komt structureel geld tekort: gaat de gemeente fuseren of wordt gekozen voor een andere oplossing?,"AD/Algemeen Dagblad.nl, 622 words",,17/2/2021
Nieuw Bosch stedelijk overleg bewoners: niet praten over laaghangend fruit,"AD/Algemeen Dagblad.nl, 458 words",,19/2/2021
Plan B voor Schiphol in plaats van groei' Luchthaven moet zich richten op zakelijke routes,"De Telegraaf, FINANCIEEL; Blz. 39, 671 words",,20/2/2021
"Stanknorm in Meierijstad blijft voorlopig hetzelfde, ‘Boeren worden in een hoekje gezet’","AD/Algemeen Dagblad.nl, 458 words",,25/2/2021
Derde van gemeenten in geldnood,"NRC.nl, 586 words",,28/2/2021
"Het geld van de gemeenten raakt op, en dat gaat iedereen merken","NRC.nl, 1995 words",,28/2/2021
Derde van gemeenten in geldnood,"NRC Handelsblad, VOORPAGINA; Blz. 1, 592 words",,1/3/2021
Derde van gemeenten in geldnood,"NRC.NEXT, VOORPAGINA; Blz. 1, 592 words",,1/3/2021
De lucht verdween uit de lokale begroting,"NRC.NEXT, BINNENLAND; Blz. 10, 1927 words",,1/3/2021
De lucht verdween uit de lokale begroting,"NRC Handelsblad, BINNENLAND; Blz. 10, 1928 words",,1/3/2021
Til ruimtelijke ordening weer naar het rijk in één ministerie,"NRC.NEXT, OPINIE; Blz. 18, 1039 words",,4/3/2021
Til ruimtelijke ordening weer naar het rijk in één ministerie,"NRC Handelsblad, OPINIE; Blz. 18, 1025 words",,4/3/2021
Geen lijsttrekker die als kind en tiener zo mooi woonde als de voorman van het CDA,"AD/Algemeen Dagblad.nl, 826 words",,10/3/2021
Geen lijsttrekker die als kind en tiener zo mooi woonde als de voorman van het CDA,"AD/Algemeen Dagblad.nl, 826 words",,10/3/2021
Geen lijsttrekker die als kind en tiener zo mooi woonde als de voorman van het CDA,"AD/Algemeen Dagblad.nl, 826 words",,10/3/2021
Geen lijsttrekker die als kind en tiener zo mooi woonde als de voorman van het CDA,"AD/Algemeen Dagblad.nl, 829 words",,10/3/2021
Geen lijsttrekker die als kind en tiener zo mooi woonde als de voorman van het CDA,"AD/Algemeen Dagblad.nl, 829 words",,10/3/2021
Geen lijsttrekker die als kind en tiener zo mooi woonde als de voorman van het CDA,"AD/Algemeen Dagblad.nl, 829 words",,10/3/2021
Geen lijsttrekker die als kind en tiener zo mooi woonde als de voorman van het CDA,"AD/Algemeen Dagblad.nl, 826 words",,10/3/2021
Geen lijsttrekker die als kind en tiener zo mooi woonde als de voorman van het CDA,"AD/Algemeen Dagblad.nl, 826 words",,10/3/2021
Stop de privatisering van het bouwtoezicht,"De Volkskrant.nl, 1346 words",,11/3/2021
Hoe kunnen Helmonders invloed hebben op wat er in hun buurt gebeurt? Online infobijeenkomst over nieuwe wet,"AD/Algemeen Dagblad.nl, 204 words",,12/3/2021
Lopik kan het niet meer alleen: herindeling steeds serieuzere optie,"AD/Algemeen Dagblad.nl, 598 words",,13/3/2021
‘Vlissingen dupeert zichzelf door uit Walcherse commissie te stappen’,"AD/Algemeen Dagblad.nl, 440 words",,15/3/2021
Wil je verbouwen of een evenement organiseren? In dit plan vind je alles wat in jouw buurt wél en niét mag,"AD/Algemeen Dagblad.nl, 561 words",,18/3/2021
Rondvaartboot op ramkoers door Boskoopse sloot: ‘We varen alles kapot’,"AD/Algemeen Dagblad.nl, 643 words",,22/3/2021
s Ochtends was Jan Klink bijna Kamerlid Column,"NRC Handelsblad, IN HET NIEUWS; Blz. 2, 512 words",,25/3/2021
’s Ochtends was Jan Klink bijna Kamerlid,"NRC.nl, 498 words",,25/3/2021
s Ochtends was Jan Klink bijna Kamerlid Column,"NRC.NEXT, IN HET NIEUWS; Blz. 2, 512 words",,25/3/2021
"De grote steden gaan drastisch veranderen: minder auto’s, meer hoogbouw en radicale vergroening","De Volkskrant.nl, 1830 words",,26/3/2021
Beeld van Nederland,"de Volkskrant, Ten Eerste; Blz. 18, 19, 1789 words",,26/3/2021
Suze en Cliff rapen vieze peuken op het Binnenhof op: ‘75 bij ministerie in 20 minuten’,"AD/Algemeen Dagblad.nl, 610 words",,30/3/2021
"Help, onze gemeente verzuipt: ‘Heel Nederland is nu bedekt met pleisters om de boel in de lucht te houden’","AD/Algemeen Dagblad.nl, 2714 words",,3/4/2021
Risico op woontoren in achtertuin blijft: ‘Belangen inwoners lijken ondergeschikt aan die van ontwikkelaars’,"AD/Algemeen Dagblad.nl, 619 words",,7/4/2021
Hoeveel bezwaren tegen de Omgevingswet zijn er nog nodig? Of blijft ook na Rutte III prestige belangrijker dan verantwoord beleid?,"De Volkskrant.nl, 239 words",,12/4/2021
"Ingezonden brieven: Stop met klagen, zoek positief nieuws","De Volkskrant.nl, 1013 words",,12/4/2021
"Invoering Omgevingswet wordt uit prestige doorgedrukt, ook al staat hij klimaatdoelen in de weg","de Volkskrant, Opinie en Debat; Blz. 28, 250 words",,13/4/2021
Arnhem wil een kleurrijker ambtenarenbestand: ‘Maar voor een witte kaaskop als Jan van Dellen blijft plek’,"AD/Algemeen Dagblad.nl, 622 words",,13/4/2021
Lezersbrieven: Je bent heus niet onaantastbaar op je e-bike,"De Volkskrant.nl, 758 words",,14/4/2021
Geldzorgen voor Zoetermeer : ‘We zitten in de aanloop naar een dubbele financiële ramp’,"AD/Algemeen Dagblad.nl, 591 words",,15/4/2021
[Geachte redactie Burgemeesters Dat het kabinet zwa...]*,"de Volkskrant, Opinie en Debat; Blz. 29, 594 words",,15/4/2021
Zijn gemeenten verplicht inwoners natuur te bieden?,"AD/Algemeen Dagblad.nl, 460 words",,20/4/2021
300 extra woningen door vertrek opleidingen Rijn IJssel naar ENKA-Campus,"AD/Algemeen Dagblad.nl, 422 words",,22/4/2021
Nieuwe bouwcrisis dreigt door ‘onwerkbare’ megawet,"NRC.nl, 767 words",,23/4/2021
Nieuwe bouwcrisis dreigt door 'onwerkbare' megawet,"NRC, IN HET NIEUWS; Blz. 2, 806 words",,23/4/2021
Nieuwe bouwcrisis dreigt door 'onwerkbare' megawet,"NRC Handelsblad, IN HET NIEUWS; Blz. 2, 813 words",,23/4/2021
Beursweek,"NRC, ECONOMIE; Blz. 4, 807 words",,24/4/2021
Beursweek,"NRC Handelsblad, ECONOMIE; Blz. 4, 807 words",,24/4/2021
No Headline In Original,"NRC, OPINIE & DEBAT; Blz. 10, 725 words",,24/4/2021
No Headline In Original,"NRC Handelsblad, OPINIE & DEBAT; Blz. 10, 725 words",,24/4/2021
Provincie Noord-Brabant en bouwers: betere samenwerking vereist voor snellere woningbouw,"AD/Algemeen Dagblad.nl, 755 words",,28/4/2021
Opruimkosten voor bedrijven' PvdD wil meer regelgeving,"De Telegraaf, REGIO; Blz. 12, 328 words",,30/4/2021
Stop de fictie van ‘lokaal maatwerk’,"NRC.nl, 1453 words",,30/4/2021
Miljoenenverlies parkeren Den Bosch door corona blijft oplopen,"AD/Algemeen Dagblad.nl, 372 words",,1/5/2021
Stop de fictie van 'lokaal maatwerk' Bestuur Gebruik de provincie om vastgelopen lokaal bestuur uit de penarie te halen,"NRC, OPINIE & DEBAT; Blz. 1, 1451 words",,1/5/2021
Stop de fictie van 'lokaal maatwerk' Bestuur Gebruik de provincie om vastgelopen lokaal bestuur uit de penarie te halen,"NRC Handelsblad, OPINIE & DEBAT; Blz. 1, 1451 words",,1/5/2021
Bewoners vrezen dat Vestia ooievaars in Bomenwijk voorgoed verjaagt,"AD/Algemeen Dagblad.nl, 641 words",,3/5/2021
Bedrijf Lycens uit Oldenzaal : van benedenverdieping naar nieuw pand op Hazewinkel,"AD/Algemeen Dagblad.nl, 718 words",,4/5/2021
De ambivalente relatie van Nederlanders met de kust,"NRC.nl, 1585 words",,6/5/2021
Kledingloos knus terug naar de kust,"NRC Handelsblad, BOEKEN; Blz. 14, 1637 words",,7/5/2021
Kledingloos knus terug naar de kust,"NRC, BOEKEN; Blz. 14, 1637 words",,7/5/2021
Helmond in actie tegen overlast houtkachels; zelfs een stookverbod is mogelijk,"AD/Algemeen Dagblad.nl, 346 words",,12/5/2021
Zoetermeer roept gemeenten op om geen boetes meer te innen zolang regering niet meer geld geeftrr,"AD/Algemeen Dagblad.nl, 577 words",,12/5/2021
Barendrecht zit in financieel zwaar weer: tekort van 2 miljoen in 2022,"AD/Algemeen Dagblad.nl, 310 words",,14/5/2021
"Dordrecht werkte twee jaar aan de ‘agenda’, een 170 pagina’s tellend verlanglijstje voor de stad","AD/Algemeen Dagblad.nl, 612 words",,15/5/2021
Groene partijen willen terrasverwarmers in Den Haag aanpakken: ‘Gebruik in plaats daarvan een dekentje’,"AD/Algemeen Dagblad.nl, 215 words",,18/5/2021
Gemeente gedoogt toch overnachten in tuinhuisje Bokhoven,"AD/Algemeen Dagblad.nl, 268 words",,18/5/2021
De overheid is geen bedrijf,"NRC.nl, 876 words",,19/5/2021
Terrasheather aan banden',"De Telegraaf, REGIO; Blz. 13, 101 words",,19/5/2021
Komen en gaan van mensen die vragen om miljarden,"NRC.nl, 689 words",,21/5/2021
Komen en gaan van mensen die vragen om miljarden Weekboek formatie,"NRC, IN HET NIEUWS; Blz. 14, 704 words",,22/5/2021
Komen en gaan van mensen die vragen om miljarden Weekboek formatie,"NRC Handelsblad, IN HET NIEUWS; Blz. 14, 704 words",,22/5/2021
Stop verkwanseling van ons landschap' Landschapsarchitect Adriaan Geuze waarschuwt voor teloorgang van kostbare ruimte,"De Telegraaf, REPORTAGE; Blz. 28, 1825 words",,22/5/2021
Vragen rond gekapte eiken in buitengebied Rijsbergen,"AD/Algemeen Dagblad.nl, 357 words",,24/5/2021
Ollongren moet invoering Omgevingswet opnieuw uitstellen,"NRC.nl, 273 words",,27/5/2021
vertraging Omgevingswet opnieuw uitgesteld,"NRC, IN HET NIEUWS; Blz. 6, 111 words",,28/5/2021
"De Rotte-dam, een zilverschat, een gouden ring: archeoloog Guiran schreef historie in de stad","AD/Algemeen Dagblad.nl, 622 words",,2/6/2021
Steenbergen eindigt 2020 met een overschot van 5 ton,"AD/Algemeen Dagblad.nl, 416 words",,3/6/2021
Etten-Leur financieel weer op de goede weg,"AD/Algemeen Dagblad.nl, 414 words",,4/6/2021
"Helmond schrijft rode cijfers, maar als het goed is niet voor lang","AD/Algemeen Dagblad.nl, 245 words",,9/6/2021
Nimby Finanscoop,"De Telegraaf, FINANCIEEL; Blz. 25, 442 words",,11/6/2021
"Veldhoven past inspraak-regels aan na stortvloed aan kritiek op plannen: ‘De discussie moet over de inhoud gaan, niet over het proces’","AD/Algemeen Dagblad.nl, 475 words",,15/6/2021
Honderden gemeenten dreigen te staken als Rijk niet bijspringt,"NRC.nl, 736 words",,17/6/2021
