Headline,Publication,Summary,Date
Herstel veerkracht van de delta eist visie van Rutte,"NRC.NEXT, Opinie; Blz. 18, 823 words",,2/11/2017
Een koffiekopje als aandenken aan Littenseradiel,"NRC.NEXT, Binnenland; Blz. 10, 1905 words",,21/11/2017
Een koffiekopje als aandenken aan Littenseradiel,"NRC Handelsblad, Binnenland; Blz. 10, 1904 words",,21/11/2017
Welkom in het nieuwe hart van Den Haag,"de Volkskrant, Ten Eerste; Blz. 10, 11, 1770 words",,12/1/2018
Hulde aan het raadslid. Hij zet zich in voor ons,"NRC.NEXT, Opinie; Blz. 8, 1740 words",,27/1/2018
Hulde aan het raadslid. Hij zet zich in voor ons,"NRC Handelsblad, Opinie; Blz. 8, 1740 words",,27/1/2018
Raadsleden moeten leken blijven met gewone baan,"NRC Handelsblad, Den Haag; Blz. 8, 608 words",,20/3/2018
Raadsleden moeten leken blijven met gewone baan,"NRC.NEXT, Den Haag; Blz. 8, 610 words",,20/3/2018
Waak voor amateurisme met zoveel lokalo's in de raad,"NRC.NEXT, Opinie; Blz. 18, 662 words",,4/4/2018
Waak voor amateurisme met zoveel lokalo's in de raad,"NRC Handelsblad, Opinie; Blz. 18, 662 words",,4/4/2018
’Natuur is dupe verstedelijking’,"De Telegraaf, REGIO; Blz. 14, 425 words",,3/5/2018
’Welstand remt bouw woningen’,"De Telegraaf, REGIO; Blz. 14, 450 words",,4/5/2018
Fel verzet tegen opofferen natuur,"De Telegraaf, REGIO; Blz. 12, 442 words",,9/5/2018
Toekomstvisie: nauwelijks nog auto nodig,"De Telegraaf, REGIO; Blz. 15, 240 words",,6/7/2018
Bouw slim en verjaag de hitte uit de stad,"de Volkskrant, Ten Eerste; Blz. 14, 15, 1640 words",,9/7/2018
’Dit Zwembadje te groot voor tuin’,"De Telegraaf, BINNENLAND; Blz. 05, 272 words",,10/7/2018
Deze wijk weet álles over zichzelf,"de Volkskrant, Ten Eerste; Blz. 19, 1044 words",,20/9/2018
Zien graven doet graven,"de Volkskrant, Economie; Blz. 26, 27, 1284 words",,28/9/2018
"Thorbecke, ook jij zou je eigen wetten nu aanpassen","NRC Handelsblad, OPINIE; Blz. 18, 1711 words",,11/10/2018
"Thorbecke, ook jij zou je eigen wetten nu aanpassen","NRC.NEXT, OPINIE; Blz. 18, 1711 words",,11/10/2018
’Voorrang voor Haagse huurder’,"De Telegraaf, REGIO; Blz. 14, 447 words",,29/11/2018
Rucphen versoepelt regels om te bouwen en verbouwen,"AD/Algemeen Dagblad.nl, 353 words",,13/3/2019
Bestaansrecht van de provincie verdient een serieuze discussie Commentaar,"NRC.NEXT, OPINIE & DEBAT; Blz. 10, 781 words",,16/3/2019
Bestaansrecht van de provincie verdient een serieuze discussie Commentaar,"NRC Handelsblad, OPINIE & DEBAT; Blz. 10, 781 words",,16/3/2019
Oud-gedeputeerde Co Verdaas beëdigd als dijkgraaf in Rivierenland,"AD/Algemeen Dagblad.nl, 112 words",,28/3/2019
Zeeuwse Statenleden gaan vaker de provincie in,"AD/Algemeen Dagblad.nl, 185 words",,28/3/2019
Maak geen haast met de keus waar de nieuwe verbinding over de Maas komt opinie 010,"NRC Handelsblad, ROTTERDAM; Blz. 6, 772 words",,30/3/2019
Maak geen haast met de keus waar de nieuwe verbinding over de Maas komt opinie 010,"NRC.NEXT, ROTTERDAM; Blz. 6, 772 words",,30/3/2019
Gemeente verbiedt verkoop van sigaretten bij bloemist op Zuid met truc,"AD/Algemeen Dagblad.nl, 451 words",,3/4/2019
Woningen op plek PNEM-gebouw Helmondselaan in Helmond,"AD/Algemeen Dagblad.nl, 423 words",,10/4/2019
Raad van State tikt regering en parlement op de vingers: denk vaker aan het algemeen belang,"De Volkskrant.nl, 546 words",,11/4/2019
Kleine bouwwerken ’regelen met de buren’,"De Telegraaf, REGIO; Blz. 14, 454 words",,17/4/2019
Bijna honderd cultuurhistorisch waardevolle panden in Rucphen,"AD/Algemeen Dagblad.nl, 486 words",,27/4/2019
Natuurclubs uiten ferme kritiek op plannen voor herinrichting Markdal,"AD/Algemeen Dagblad.nl, 470 words",,27/4/2019
Leuke vacatures het hele jaar door en in de regio!,"AD/Algemeen Dagblad.nl, 476 words",,30/4/2019
Adviesbureau Over Morgen hakt de knoop door,"AD/Algemeen Dagblad.nl, 946 words",,3/5/2019
Zeeuwse milieudienst te klein voor alle toekomstige taken,"AD/Algemeen Dagblad.nl, 444 words",,8/5/2019
Steenbergen in 2040: robot als juffrouw en insectenkoek als traktatie,"AD/Algemeen Dagblad.nl, 308 words",,9/5/2019
Beoogde nieuwe coalitie Gilze en Rijen gaat vol gas verder,"AD/Algemeen Dagblad.nl, 353 words",,9/5/2019
"Gemeente Lopik ruim 8 ton meer kwijt aan jeugdzorg, personeel en bruggen","AD/Algemeen Dagblad.nl, 369 words",,10/5/2019
Nieuwe coalitie met VVD en David Vermorken als wethouder,"AD/Algemeen Dagblad.nl, 352 words",,10/5/2019
Breda moet meer gaan bouwen. Gaat het er nu echt van komen?,"AD/Algemeen Dagblad.nl, 422 words",,16/5/2019
"Burgers uit Hengelo, Beckum en Oele praten mee over hun eigen woonomgeving","AD/Algemeen Dagblad.nl, 316 words",,17/5/2019
Roosendaalse politiek hamert op goede communicatie rondom komst Bravis ziekenhuis,"AD/Algemeen Dagblad.nl, 417 words",,26/5/2019
"Landerd zit met tekort van 1,5 miljoen over 2018 toch vrijwel op schema","AD/Algemeen Dagblad.nl, 307 words",,28/5/2019
Hengelo ligt niet wakker van beoordeling 'oranje',"AD/Algemeen Dagblad.nl, 175 words",,28/5/2019
Gorinchem houdt ruim één miljoen over door lagere rente,"AD/Algemeen Dagblad.nl, 266 words",,29/5/2019
Wat gaan de zeven nieuwe bestuurders van Brabant de komende vier jaar doen?,"AD/Algemeen Dagblad.nl, 1105 words",,11/6/2019
Marian Witte (43) voorgedragen als nieuwe burgemeester van Geertruidenberg,"AD/Algemeen Dagblad.nl, 369 words",,18/6/2019
Vergunning voor dakkapel en zonnepaneel in Dordrecht voortaan binnen acht dagen binnen,"AD/Algemeen Dagblad.nl, 491 words",,21/6/2019
Soest kondigt nieuw tijdperk van bezuinigingen aan,"AD/Algemeen Dagblad.nl, 492 words",,21/6/2019
Landerd met burgers in gesprek over toekomst buitengebied,"AD/Algemeen Dagblad.nl, 161 words",,21/6/2019
Raad wil dat Vught geen enkel ‘heilig huisje’ schuwt bij bezuinigingen,"AD/Algemeen Dagblad.nl, 382 words",,27/6/2019
Wethouder Margriet Wartena stapt op in Brummen na felle kritiek: ‘Er stond een prijs op mijn hoofd’,"AD/Algemeen Dagblad.nl, 392 words",,27/6/2019
Amersfoorters met huisnummer (0)33 mogen meepraten over de stad,"AD/Algemeen Dagblad.nl, 155 words",,27/6/2019
Nieuwe verdeling taken opgestapte Brummense wethouder Margriet Wartena,"AD/Algemeen Dagblad.nl, 190 words",,2/7/2019
"Oderkerkpark Etten-Leur summum van inspraak: Bewoners bepalen, maar het mag niets kosten!","AD/Algemeen Dagblad.nl, 543 words",,4/7/2019
Quackstrand gaat na de zomer op de schop,"AD/Algemeen Dagblad.nl, 369 words",,5/7/2019
Nieuw bestemmingsplan: binnenstad van Schoonhoven moet bruisen,"AD/Algemeen Dagblad.nl, 245 words",,6/7/2019
Waterschappen kunnen model zijn voor nieuwe 'windschappen',"NRC.NEXT, OPINIE; Blz. 18, 594 words",,9/7/2019
Waterschappen kunnen model zijn voor nieuwe 'windschappen',"NRC Handelsblad, OPINIE; Blz. 18, 594 words",,9/7/2019
Forse kritiek op verbreding Keulsebaan in Boxtel: ‘Er is met twee maten gemeten’,"AD/Algemeen Dagblad.nl, 577 words",,12/7/2019
Wethouder Kukenheim wil snackbars rondom scholen weren,"AD/Algemeen Dagblad.nl, 750 words",,13/7/2019
GGD-directeur publieke gezondheid neemt afscheid: Nog steeds scheelt het in de stad vier tot zes jaar van je leven als je arm bent,"AD/Algemeen Dagblad.nl, 900 words",,13/7/2019
"Gat van 2,8 miljoen maakt Soest zenuwachtig","AD/Algemeen Dagblad.nl, 568 words",,17/7/2019
Groene strijd in buitengebied Wageningen,"AD/Algemeen Dagblad.nl, 418 words",,22/7/2019
Vereniging Markdal zaait perceel in: walhalla voor vogels en bijen,"AD/Algemeen Dagblad.nl, 237 words",,23/7/2019
‘Voor oudere weinig voorzieningen op loopafstand’,"AD/Algemeen Dagblad.nl, 475 words",,25/7/2019
‘Onrust over doortrekken van Aletta Jacobslaan is gevolg van nieuwe aanpak inspraak bewoners’,"AD/Algemeen Dagblad.nl, 406 words",,27/7/2019
Fietsforenzen rond Groningen hebben Paddepoelsterbrug nog lang niet terugr,"AD/Algemeen Dagblad.nl, 445 words",,3/8/2019
Een bestemmingsplan voor hele spoorzone,"AD/Algemeen Dagblad.nl, 89 words",,8/8/2019
Na windmolen zorgt nu flat voor ophef en onrust in Leidschendam - Voorburg,"AD/Algemeen Dagblad.nl, 263 words",,22/8/2019
Anti-struikelstoep tegen overgewicht,"De Telegraaf, REGIO; Blz. 14, 468 words",,27/8/2019
Staatssecretaris Blokhuis: Ik gun iedereen zijn kroket of patatje oorlog,"AD/Algemeen Dagblad.nl, 545 words",,31/8/2019
Nieuw rioleringsplan Halderberge spitst zich toe op klimaatverandering,"AD/Algemeen Dagblad.nl, 217 words",,5/9/2019
Regiogemeenten starten onderzoek naar regionale milieudienst Zuidoost-Brabant,"AD/Algemeen Dagblad.nl, 291 words",,6/9/2019
Vijftig nieuwe koopwoningen op PNEM-terrein in Helmond-Noord,"AD/Algemeen Dagblad.nl, 452 words",,18/9/2019
Breda vraagt zich af: waar moet dat heen?,"AD/Algemeen Dagblad.nl, 473 words",,18/9/2019
Rust keert terug in Heilige Driehoek,"AD/Algemeen Dagblad.nl, 458 words",,20/9/2019
SP Noordoostpolder wil beperking op ‘flitsvergunning’,"AD/Algemeen Dagblad.nl, 184 words",,23/9/2019
Snel meer duidelijk over FeelGood Park Meerhoven in Eindhoven,"AD/Algemeen Dagblad.nl, 442 words",,24/9/2019
"Breda praat over toekomst: blijft er nog wat te kiezen, als er van alles moet?","AD/Algemeen Dagblad.nl, 575 words",,24/9/2019
